Unnamed: 0,winery,country,points,description,designation
54,De Loach,US,90,"There's a lot to like in this nicely priced white, a blend of several regional vineyards. A taste of hazelnut expands on the palate to meet creamy Tahitian vanilla. Approachably round, this crowd-pleasing wine finishes in measured, integrated oak.",
55,DeLille,US,90,"A blend of Cabernet from Grand Ciel (31%), Ciel du Cheval (30%), Upchurch (28%) and Klipsun (11%) vineyards, wood spice aromas start out up front. The cherry flavors are light and elegant, with the tannins bringing some grip.",Four Flags
56,Domaine Vacheron,France,90,"Delicious while also young and textured, this wine comes from biodynamically grown grapes. It has a strong sense of minerality as well as intense citrus and green fruits. It's tight at the moment and needs to round out, so drink from 2018.",Le Pavé
57,Dr. Konstantin Frank,US,90,"While exuberantly fruity, almost tropical on the nose, there's a crystalline edge to this dry Riesling that renders it especially refreshing. It's vibrant and light footed, brightened by a lingering honey note on the finish.",Reserve
58,Efeste,US,90,"Cabernet makes up just over half of this blend. Aromas of black cherries, herbs and minerals are followed by plush-feeling dark-fruit flavors and backed by firm tannins. Drink now.",Final Final
59,Fattoria di Magliano,Italy,90,"This savory blend of 40% Merlot, 30% Cabernet Sauvignon, 25% Cabernet Franc and 5% Syrah opens with aromas of roasted coffee bean, leather, tobacco and dark woodland berry. The chewy palate offers juicy plum, cassis and clove alongside polished tannins. Drink through 2019.",Poggio Bestiale
60,Matias Riccitelli,Argentina,91,"Concentrated, ripe blackberry and cassis aromas come with peppery spice and cedary oak notes. This is big and generous on the palate, with roasted, well-oaked blackberry flavors. A touch of heat lends sizzle to the finish. Drink through 2020.",The Apple Doesn't Fall Far From The Tree
61,Moorooduc,Australia,91,"Moorooduc's estate Pinot Noir is a solid value among the boutique offerings from the Mornington Peninsula. There's a supple cushioning of flesh wrapped around a firm backbone of acid, while the flavors run from black cherry and mint through earthier notes of brown sugar and roasted parsnip. Drink now through 2020.",
62,Navarro Correas,Argentina,91,"Smoky aromas of fresh-cut wood blend with berry and cassis form a welcoming, generous bouquet. This feels lively on the palate, albeit tartaric. Oaky plum, cassis and vanilla flavors finish full and agreeable. Drink through 2019.",Alegoría Gran Reserva
63,Domaine Chenevières,France,91,"L'Homme Mort is a northern extension of the Fourchaume Premier Cru vineyard, so called because this was where a local lord dispensed justice by death. It often produces cooler wines such as this. It is tight, with toasted bread hints and with a strongly tangy character. It does need to develop and shouldn't be drunk before 2018.",L'Homme Mort Premier Cru
64,Herdade do Rocim,Portugal,91,"This is a super-ripe, still very young wine. It's showing all its concentrated fruits, wood aging flavors and dense texture as well as the firm tannins that will allow it to age. With its combination of black plum skin, blackberry and dark concentration, leave the wine until 2018.",
65,Jason-Stephens,US,91,"Fresh boysenberries and a blueberry sorbet character mix with notes of minty tarragon, dill and hot gravel on the nose of this wine, from an area between Gilroy and Morgan Hill. Peppercorns are prominent on the relatively light palate, along with tobacco, espresso and boysenberry.",Estate Select
66,Louis Max,France,91,"The steely character of a young Chablis is very apparent in this wine. It is crisp, lemon flavored and with a mineral edge. The wine has a juicy freshness, still young at heart and needing to age. Drink from 2018.",Fourchaume Premier Cru
67,Michael Mondavi Family Estate,US,91,"From the producer's monumental Atlas Peak vineyard, this is a tightly wound, solidly constructed mountain Cab, blended with a handful of Petit Verdot. Tobacco, black tea and a sliver of coconut intermingle around a medium-bodied whole that will benefit from cellaring, through 2021.",Animo
68,Panther Creek,US,91,"Big, bold, dark and chewy, this builds upon substantial black-cherry fruit and supporting acids. Still knitting together, it shows highlights of cedar and tobacco, along with thick tannins. Give this a couple more years of bottle age, and drink after 2018.",Schindler Vineyard
69,Provenance Vineyards,US,91,"A juiciness of cherry and vanilla spark the opening of this wine, a celebration of the vintage, appellation and in this case, fruit-forwardness of the variety. With a backbone of oak and cedar, it has smooth tannins and medium weight, finishing in mocha chocolate. Drink now through 2022.",Barrel Select
70,Raymond,US,91,"Sweetened tannins highlight a depth of chocolate and blackberry in this 100% varietal wine made in small amounts. Soft and juicy, it crafts a balance of richness and density around elegant spicy clove and cinnamon.",District Collection
71,Red Car,US,91,"This wine draws from a handful of tremendous vineyard sites, including the producer's estate, Platt and Clary Ranch, all cool-climate and windswept. It's a tight, light and minimally messed-with wine, bright in cherry, pomegranate and rose.",
72,Silvano Bolmida,Italy,91,"This offers aromas of red rose, wild berry, dark cooking spice and a whiff of sun baked earth. The ripe palate offers black cherry marinated in spirits, licorice, game and a hint of chocolate alongside velvety tannins. The warmth of alcohol closes the finish. Drink 2018–2029.",Bussia Riserva
73,Trinity Vineyards,US,91,"Massively fruity, this is an apple/pear bonanza, fleshy and almost lasciviously delicious. The huge fruit flavors convey an impression of sweetness, though this is not identified as off dry. It has tremendous density and length.",
74,Adega Cooperativa de Borba,Portugal,91,"It is the ripe dark Alicante Bouschet that dominates this firmly structured wine. It is packed with tannins along with a hugely dense texture and concentrated juicy berry flavors. It is very firm, still young. Wait until 2017.",Premium
75,Archery Summit,US,91,"An elegant blend from different estate vineyards, this widely available cuvée brings sturdy tannins and red currant fruit, highlighted with pretty baking spices. It would be an ideal match for roast duck with an orange sauce.",Premier Cuvée
76,Aubry,France,91,"This wine is bone-dry, although with some age the shock of the acidity has been rounded out by a hint of toast. It's linear, fresh and intensely crisp, with citrus and almond tones. Drink this wine from a good vintage now.",Le Nombre d'Or Brut Nature
77,B Cellars,US,91,"Given four months in concrete egg, this is an exotically crisp and textured white, lean and high in acidity with plenty of mouthcoating body to find its balance. Lemon, grapefruit and tangerine are the highlights, finished in refreshing layers of white peach.",Juliana Vineyard
78,B Side,US,91,"This wine over-delivers in quality for the price. It's made from mostly Cabernet Sauvignon, with handfuls of Merlot, Malbec, Petit Verdot and Cabernet Franc blended in to good effect. The whole combines into layers of chocolate and graham cracker, dappled in vanilla and jam. Thick tannins suggest a swirl or two of the glass. The finish is all tobacco.",
79,Bel Colle,Italy,91,"Underbrush, smoke, mocha and dark fruit aromas lead the nose and carry over to the ripe palate along with dried black cherry, licorice and clove. Firm, velvety tannins provide the framework. Drink 2018–2028.",Boscato
80,Bethel Heights,US,91,"Generous black-cherry fruit anchors this barrel-aged wine that remains tartly acidic, with pretty accents of toast and mocha. Focused, young and fresh, it should drink optimally 2018–2028.",Aeolian
81,Binyamina,Israel,91,"Dark red violet in color, this wine has aromas of cherry, lavender and rose petal. It is a well-balanced wine with flavors of black cherry, raspberry, Turkish delight and herbes de Provence. Silky tannins coat the palate into the lasting finish, which is punctuated by a note of bright cherry.",Reserve
82,Ceste,Italy,91,"Berry, baking spice, dried iris, mint and a hint of vanilla come together on this structured wine. On the palate, notes of white pepper, sage, anise, orange zest and yellow peach accent the red cherry core while a balsamic note closes the finish. Firm, refined tannins provide the backbone.",Palliano Riserva
83,Cascina Cucco,Italy,91,"This hearty red opens with aromas of leafy underbrush, leather, licorice and a hint of menthol. The firm, chewy palate offers ripe wild cherry, raspberry jam, anisette and tobacco. Brooding tannins support the dark flavors. Drink 2019–2029.",del Comune di Serralunga d'Alba
84,Cascina del Monastero,Italy,91,"Enticing aromas of woodland berry, crushed rose, mint and menthol lead the nose on thisfull-bodied red. Mint carries over to the palate along with wild cherry, red raspberry, kitchen spice and a hint of toast. Assertive tannins and bright acidity hold it all together.",Bricco Luciani
85,Cordero di Montezemolo,Italy,91,"Aromas of French oak, coconut, vanilla and spiced plum lead the nose on this powerfully structured wine. The oak sensations carry over to the warm palate along with cherry marinated in spirits, licorice and menthol. Bracing, close-grained tannins provide the framework and need time to unwind. Best after 2020.",Bricco Gattera
86,Domaine Gérard Duplessis,France,91,"This delicious, refreshing wine is textured, tight and mineral, with fruity acidity. Tangy and crisp, it has a tight structure, touches of toast along with apple and citrus flavors. The wine is still young and very tight, so should not be drunk before 2017.",Montmains Premier Cru
87,Eagle Glen,US,91,"From a multiplicity of vineyards, this wine works and is a tremendous value for the price. It mixes hot mulled-cider spices, cinnamon, clove and pine forest, conveying surprising depth. Plum, dark cherry and more clove lead to a powerful, leathery finish.",
88,Eleven Eleven,US,91,"The first Pinot Noir release from this producer, this is a velvety-smooth, exotic and charming wine, light on the palate despite a concentration of ripe, rich fruit. Kirsch, cherry, raspberry and cinnamon combine to make the wine invitingly lush and plush.",Bacigalupi Vineyard
89,Franciscan,US,91,"A red Meritage driven by 73% Cabernet Sauvignon, this structured, full-bodied wine also blends in 19% Merlot, 3% Petit Verdot and 3% Malbec. Blackberry and chocolate accent chalky tannins, with bold hits of black licorice, cassis, pencil and black tea. Drink now through 2020.",Magnificat
90,Belle Ambiance,US,86,"Bright, light oak shadings dress up this medium-bodied wine, complementing the red cherry and strawberry flavors. It's fresh, fruity and not very tannic—easy to drink and enjoy.",
91,Adega de Cantanhede,Portugal,86,"The local Baga grape, better known for producing structured red wines, also lends itself to fruity sparkling rosé. Bright acidity gives this crisp wine its tangy, red currant character. Drink now.",Marquês de Marialva Rosé Bruto
92,De Stefani,Italy,86,"Aromas of white spring flower, orchard fruit and citrus spill out of the glass. The fun lively palate delivers ripe yellow peach and green apple alongside a foaming mousse.",Nature
93,Parducci,US,86,"A smoky scent and earthy, crisp-apple flavors make this medium-bodied wine a change of pace from the average butterball Chardonnay. It has welcome acidity and a nicely smooth texture.",Small Lot Blend
94,Quinta do Portal,Portugal,86,"This family-owned estate has produced an immediately attractive entry-level wine. Lightly spiced with wood, it blends Touriga Franca, Tinta Roriz and Tinta Barroca to show black fruit, ripe tannins and bright acidity. Drink now.",Muros de Vinha
95,Rigal,France,86,"This is a smooth, soft wine that is full of black fruits and ripe tannins. The Merlot rounds out the rougher edges of the Malbec to give a rich juicy wine that will develop quickly. It is all fruit, generous and ready to drink from 2017.",Château Beauvillain-Monpezat
96,The Naked Grape,US,86,"This is an easygoing wine that's neither too oaky nor too crisp, with a decent blend of ripe pear and baking spice flavors paired with soft, smooth texture.",
97,Tin Barn,US,86,"Blended with small amounts of Merlot, Cabernet Franc, Petit Verdot and Malbec, this is an austere, unfussy red made in modest quantities that has crisp red currant and cranberry flavors interwoven with cedar and dried herb.",
98,Georges Vigouroux,France,86,"Closer to Bordeaux than is Cahors, this is Malbec with a cooler visage. It has spice and stalky tannins along with plenty of acidity. The wine is bright with red berry fruits and a crisp lightly mineral aftertaste. Drink from 2018.",Pigmentum
99,Georges Vigouroux,France,86,"This is a blend of 60% Ugni Blanc and 40% Colombard that gives a deliciously light and refreshing wine. Bright and breezy, it is perfumed, herbal and full of direct citrus flavors. Drink now.",Pigmentum
100,Hawk Watch Winery,US,86,"Juicy kiwi, lime blossom and sour apple candy aromas show on the nose of this ripe white—the first 2016 submitted from the region. The palate is oily in texture, with honeydew and more lime-kiwi-bubblegum flavors.",
101,Hestan,US,86,"Brambly and herbal, this wine shows bright acidity underlying a full-bodied, incoherently ripe palate of tar, toffee and rich cola notes.",Stephanie
102,Il Grappolo,Italy,86,"The nose is a bit shy but eventually reveals underbrush, red berry and a toasted note. The straightforward palate is quite lean, offering raw sour cherry, a green note of powdered sage and a hint of ground pepper alongside raspy tannins that leave an astringent finish.",
103,Ehret,US,86,"This Cabernet Sauvignon-dominant blend boasts leather, tobacco leaf and black pepper flavors, giving it muscle and a rustic edge, the tannins and fruit mellowed with age.",Bella's Blend
104,EOS,US,86,"Fans of stickies may find pleasure in this bottling, but it is tremendously sweet and oily. Candied honeydew and kiwi scents meet with sweet juniper and pine on the nose. On the palate, it tastes squarely of golden honey. It's soft, unctuous and thick in consistency.",Tears of Dew Late Harvest
105,Martinez & Martinez,US,86,"Aromas of ripe (leaning almost overripe) apple, melon and orange peel are followed by medium-sweet fruit flavors. It needs more acid to stand it up.",Tudor Hills Vineyard
106,Ironstone,US,86,"Strong wood smoke and grilled meat aromas lead to equally assertive oak and dried herb flavors, giving this wine extreme personality. It has medium body and rather soft tannins and texture to balance.",
107,Leaping Horse,US,86,"This medium-bodied wine has more earthy and floral flavors than straightforward fruit, so it's something a bit different. Well-priced and easy to drink, it can please a crowd.",
108,Kitchen Sink,US,86,"This wine is dry and substantial, emphasizing earthy, savory flavors over fruity ones. An attractive walnut and almond element carries through from the aroma to the flavors.",
109,Kuleto Estate,US,86,"This is from a hillside estate vineyard and is entirely barrel fermented, its oak subtle and supportive. Medium bodied and not overripe, it offers honeysuckle aromas and lime and lemon rind flavors.",Homestead Block
110,Wines & Winemakers,Portugal,86,"This state-owned estate of forests and vineyards grows organic grapes. This wine, softly structured and ripe has light black fruits and plenty of acidity. An undercurrent of tannin keeps the wine in order and will allow it to age. Drink from 2018.",Companhia das Lezírias Herdade de Catapereiro Single Vineyard
111,Zorzal,Argentina,86,"This copper-tinted rosé of Pinot Noir smells like a rubber gym ball and citrus fruits. A full round bouncy palate brings it around, while dry citrus and stone-fruit flavors show a skins-like quality on a steady finish.",Terroir Único Pinot Noir
112,Charles Krug,US,86,"This mountain-grown wine is hugely tannic and oaky, hard to penetrate in its full-bodied ripeness. Smoky oak and currant flavors vie for attention against a backdrop of concentration and power.",Limited Release Cold Springs Vineyard
113,Millbrook,US,86,"Savory apples and pears mingle into lemon and bramble in this slightly earthy off-dry Riesling. Sunny tangerine acidity is easy but bright, leading a delicately sweet finish.",Castle Hill Vineyard
114,Waterkloof,South Africa,86,"Muted aromas of tart gooseberry and lime peel dance in the bouquet, while pithy flavors of plum skin, currant and citrus rind unfold on the lightweight, slightly astringent palate. Pleasant hints of fresh herbs and saline make a fleeting impression on the close.",Circumstance
115,Viñalba,Argentina,86,"Aromas of prune, raisin and black plum are full and gritty. A chunky full-bodied palate feels grabby, while this tastes of generic blackberry, burnt coffee and dark chocolate. A steady plump, rubbery finish closes the show.",Reserva
116,Casa de la Ermita,Spain,86,"Aromas of brandied cherry and crème de cassis include a horsey sidenote and some heat. This sweet Monastrell smacks the palate with hard tannins. Flavors of black cherry, cassis and baked plum finish blocky.",Dulce Tinto
117,Château Clément Termes,France,86,"This pale pink-grey colored wine is a blend of Duras and Merlot. It is lively and fruity, with a red-currant flavor, delicious crisp acidity and a soft, lively aftertaste. Drink now.",
118,Château Coutinel,France,86,This softly fruity wine has the lightest of tannins and plenty of simple red-berry fruits. There is an earthy edge to the young wine as well as plenty of acidity at the end. Drink now.,Il est des nôôôtres!
